description,year,name,region,on_churchill,on_map,region_edited
"
              The Vincent Fairfax Ethics in Leadership Churchill Fellowship to research interdisciplinary insights into decision making in different cultures and their practical application to improving the quality of board room decision making - Canada, USA, UK, Malaysia, Thailand
            ",2014,"Hickey, Virginia",Thailand,yes,yes,yes
"
              The NRMA-ACT Road Safety Trust Churchill Fellowship to improve Australian road safety policy processes by enhancing knowledge translation amongst key stakeholders - Sweden, Norway, Netherlands, UK
            ",2014,"Hinchcliff, Reece",Sweden,yes,yes,yes
"
              The NRMA-ACT Road Safety Trust Churchill Fellowship to improve Australian road safety policy processes by enhancing knowledge translation amongst key stakeholders - Sweden, Norway, Netherlands, UK
            ",2014,"Hinchcliff, Reece",Norway,yes,yes,yes
"
              The NRMA-ACT Road Safety Trust Churchill Fellowship to improve Australian road safety policy processes by enhancing knowledge translation amongst key stakeholders - Sweden, Norway, Netherlands, UK
            ",2014,"Hinchcliff, Reece",Netherlands,yes,yes,yes
"
              The NRMA-ACT Road Safety Trust Churchill Fellowship to improve Australian road safety policy processes by enhancing knowledge translation amongst key stakeholders - Sweden, Norway, Netherlands, UK
            ",2014,"Hinchcliff, Reece",UK,yes,yes,yes
"
              To assess the impact of noise pollution on Australia's fisheries species - UK
            ",2014,"Hobbs, Jean-Paul",UK,yes,yes,yes
"
              To investigate planning policies that deliver positive social outcomes in hyper-dense, high-rise residential environments - USA, Canada, Hong Kong, Japan, South Korea
            ",2014,"Hodyl, Leanne ",USA,yes,yes,yes
"
              To investigate planning policies that deliver positive social outcomes in hyper-dense, high-rise residential environments - USA, Canada, Hong Kong, Japan, South Korea
            ",2014,"Hodyl, Leanne ",Canada,yes,yes,yes
"
              To investigate planning policies that deliver positive social outcomes in hyper-dense, high-rise residential environments - USA, Canada, Hong Kong, Japan, South Korea
            ",2014,"Hodyl, Leanne ",Japan,yes,yes,yes
"
              To investigate planning policies that deliver positive social outcomes in hyper-dense, high-rise residential environments - USA, Canada, Hong Kong, Japan, South Korea
            ",2014,"Hodyl, Leanne ",South Korea,yes,yes,yes
"
              The Dr Dorothea Sandars and Irene Lee Churchill Fellowship to investigate integrated management strategies and their potential application to crown-of-thorns starfish on the Great Barrier Reef - New Zealand, Japan, USA, Canada
            ",2014,"Hoey, Jessica",New Zealand,yes,yes,yes
"
              The Dr Dorothea Sandars and Irene Lee Churchill Fellowship to investigate integrated management strategies and their potential application to crown-of-thorns starfish on the Great Barrier Reef - New Zealand, Japan, USA, Canada
            ",2014,"Hoey, Jessica",Japan,yes,yes,yes
"
              The Dr Dorothea Sandars and Irene Lee Churchill Fellowship to investigate integrated management strategies and their potential application to crown-of-thorns starfish on the Great Barrier Reef - New Zealand, Japan, USA, Canada
            ",2014,"Hoey, Jessica",USA,yes,yes,yes
"
              The Dr Dorothea Sandars and Irene Lee Churchill Fellowship to investigate integrated management strategies and their potential application to crown-of-thorns starfish on the Great Barrier Reef - New Zealand, Japan, USA, Canada
            ",2014,"Hoey, Jessica",Canada,yes,yes,yes
"
              To enhance Australian law enforcement understanding of the American DEA's national communications database, their international covert money laundering operations, and how they can be fused within Australian law enforcement - USA
            ",2014,"Horvath, Anna",USA,yes,yes,yes
"
              To investigate innovative therapies to promote independence for tetraplegic patients - Canada, USA, UK, Sweden
            ",2014,"Hunter, Nicola",Canada,yes,yes,yes
"
              To investigate innovative therapies to promote independence for tetraplegic patients - Canada, USA, UK, Sweden
            ",2014,"Hunter, Nicola",USA,yes,yes,yes
"
              To investigate innovative therapies to promote independence for tetraplegic patients - Canada, USA, UK, Sweden
            ",2014,"Hunter, Nicola",UK,yes,yes,yes
"
              To investigate innovative therapies to promote independence for tetraplegic patients - Canada, USA, UK, Sweden
            ",2014,"Hunter, Nicola",Sweden,yes,yes,yes
"
              To study models of bringing care out of hospitals and into the community for people with chronic disease - New Zealand, USA, Canada, UK
            ",2014,"Johnson, Tracey",New Zealand,yes,yes,yes
"
              To study models of bringing care out of hospitals and into the community for people with chronic disease - New Zealand, USA, Canada, UK
            ",2014,"Johnson, Tracey",USA,yes,yes,yes
"
              To study models of bringing care out of hospitals and into the community for people with chronic disease - New Zealand, USA, Canada, UK
            ",2014,"Johnson, Tracey",Canada,yes,yes,yes
"
              To study models of bringing care out of hospitals and into the community for people with chronic disease - New Zealand, USA, Canada, UK
            ",2014,"Johnson, Tracey",UK,yes,yes,yes
"
              To improve the psychiatric care of Australian Defence Force veterans through the implementation of policy informed by international best practice in military mental health - USA
            ",2014,"Lane, Jonathan",USA,yes,yes,yes
"
              The Vincent Fairfax Family Foundation Churchill Fellowship to research appropriate interior lighting to enhance the visual and functional abilities of older people - Canada, UK, Germany, Norway, Netherlands
            ",2014,"Le Grange, Rejane",Canada,yes,yes,yes
"
              The Vincent Fairfax Family Foundation Churchill Fellowship to research appropriate interior lighting to enhance the visual and functional abilities of older people - Canada, UK, Germany, Norway, Netherlands
            ",2014,"Le Grange, Rejane",UK,yes,yes,yes
"
              The Vincent Fairfax Family Foundation Churchill Fellowship to research appropriate interior lighting to enhance the visual and functional abilities of older people - Canada, UK, Germany, Norway, Netherlands
            ",2014,"Le Grange, Rejane",Germany,yes,yes,yes
"
              The Vincent Fairfax Family Foundation Churchill Fellowship to research appropriate interior lighting to enhance the visual and functional abilities of older people - Canada, UK, Germany, Norway, Netherlands
            ",2014,"Le Grange, Rejane",Norway,yes,yes,yes
"
              The Vincent Fairfax Family Foundation Churchill Fellowship to research appropriate interior lighting to enhance the visual and functional abilities of older people - Canada, UK, Germany, Norway, Netherlands
            ",2014,"Le Grange, Rejane",Netherlands,yes,yes,yes
"
              To establish links between brain imaging evidence and human rights/refugee frameworks - USA, Denmark, Switzerland
            ",2014,"Liddell, Belinda",USA,yes,yes,yes
"
              To establish links between brain imaging evidence and human rights/refugee frameworks - USA, Denmark, Switzerland
            ",2014,"Liddell, Belinda",Denmark,yes,yes,yes
"
              To establish links between brain imaging evidence and human rights/refugee frameworks - USA, Denmark, Switzerland
            ",2014,"Liddell, Belinda",Switzerland,yes,yes,yes
